id,name,omimid,description,created_at,updated_at
451,,605275,,2020-12-22 18:01:50,2020-12-22 18:01:50
452,,609942,,2020-12-22 18:01:50,2020-12-22 18:01:50
453,,610733,,2020-12-22 18:01:50,2020-12-22 18:01:50
454,,611553,,2020-12-22 18:01:50,2020-12-22 18:01:50
455,,613224,,2020-12-22 18:01:50,2020-12-22 18:01:50
456,,613706,,2020-12-22 18:01:50,2020-12-22 18:01:50
457,,615355,,2020-12-22 18:01:50,2020-12-22 18:01:50
458,,616559,,2020-12-22 18:01:50,2020-12-22 18:01:50
459,,616564,,2020-12-22 18:01:50,2020-12-22 18:01:50
460,,618499,,2020-12-22 18:01:50,2020-12-22 18:01:50
461,,618624,,2020-12-22 18:01:50,2020-12-22 18:01:50
462,,304150,,2020-12-22 18:01:50,2020-12-22 18:01:50
463,,257800,,2020-12-22 18:01:51,2020-12-22 18:01:51
464,,203100,,2020-12-22 18:01:51,2020-12-22 18:01:51
465,,606952,,2020-12-22 18:01:51,2020-12-22 18:01:51
466,,203200,,2020-12-22 18:01:51,2020-12-22 18:01:51
467,,203290,,2020-12-22 18:01:51,2020-12-22 18:01:51
468,,164200,,2020-12-22 18:01:51,2020-12-22 18:01:51
469,,257850,,2020-12-22 18:01:51,2020-12-22 18:01:51
470,,600268,,2020-12-22 18:01:51,2020-12-22 18:01:51
471,,601319,,2020-12-22 18:01:51,2020-12-22 18:01:51
472,,257980,,2020-12-22 18:01:51,2020-12-22 18:01:51
473,,273400,,2020-12-22 18:01:51,2020-12-22 18:01:51
474,,258200,,2020-12-22 18:01:51,2020-12-22 18:01:51
475,,300918,,2020-12-22 18:01:51,2020-12-22 18:01:51
476,,614594,,2020-12-22 18:01:51,2020-12-22 18:01:51
477,,107000,,2020-12-22 18:01:51,2020-12-22 18:01:51
478,,614149,,2020-12-22 18:01:51,2020-12-22 18:01:51
479,,311200,,2020-12-22 18:01:52,2020-12-22 18:01:52
480,,167100,,2020-12-22 18:01:52,2020-12-22 18:01:52
481,,259100,,2020-12-22 18:01:52,2020-12-22 18:01:52
482,,614441,,2020-12-22 18:01:52,2020-12-22 18:01:52
483,,167200,,2020-12-22 18:01:52,2020-12-22 18:01:52
484,,167210,,2020-12-22 18:01:52,2020-12-22 18:01:52
485,,260130,,2020-12-22 18:01:52,2020-12-22 18:01:52
486,,615726,,2020-12-22 18:01:52,2020-12-22 18:01:52
487,,615728,,2020-12-22 18:01:52,2020-12-22 18:01:52
488,,181600,,2020-12-22 18:01:52,2020-12-22 18:01:52
489,,245000,,2020-12-22 18:01:52,2020-12-22 18:01:52
490,,608354,,2020-12-22 18:01:52,2020-12-22 18:01:52
491,,608355,,2020-12-22 18:01:52,2020-12-22 18:01:52
492,,260565,,2020-12-22 18:01:52,2020-12-22 18:01:52
493,,169610,,2020-12-22 18:01:52,2020-12-22 18:01:52
494,,130080,,2020-12-22 18:01:53,2020-12-22 18:01:53
495,,617174,,2020-12-22 18:01:53,2020-12-22 18:01:53
496,,175200,,2020-12-22 18:01:53,2020-12-22 18:01:53
497,,172800,,2020-12-22 18:01:53,2020-12-22 18:01:53
498,,180600,,2020-12-22 18:01:53,2020-12-22 18:01:53
499,,261900,,2020-12-22 18:01:53,2020-12-22 18:01:53
500,,261990,,2020-12-22 18:01:53,2020-12-22 18:01:53
501,,262020,,2020-12-22 18:01:53,2020-12-22 18:01:53
502,,132600,,2020-12-22 18:01:53,2020-12-22 18:01:53
503,,173200,,2020-12-22 18:01:53,2020-12-22 18:01:53
504,,212065,,2020-12-22 18:01:53,2020-12-22 18:01:53
505,,604173,,2020-12-22 18:01:53,2020-12-22 18:01:53
506,,263650,,2020-12-22 18:01:53,2020-12-22 18:01:53
507,,175800,,2020-12-22 18:01:53,2020-12-22 18:01:53
508,,176090,,2020-12-22 18:01:54,2020-12-22 18:01:54
509,,131850,,2020-12-22 18:01:54,2020-12-22 18:01:54
510,,176670,,2020-12-22 18:01:54,2020-12-22 18:01:54
511,,176690,,2020-12-22 18:01:54,2020-12-22 18:01:54
512,,166350,,2020-12-22 18:01:54,2020-12-22 18:01:54
