id,disease_id,reference_id,created_at,updated_at
11751,699,28409,2021-04-28 01:51:06.577532,2021-04-28 01:51:06.577532
11752,196,18900,2021-04-28 01:52:01.036981,2021-04-28 01:52:01.036981
11753,66,30050,2021-04-28 01:52:18.554130,2021-04-28 01:52:18.554130
11754,192,30051,2021-04-28 01:52:25.867041,2021-04-28 01:52:25.867041
11755,492,28918,2021-04-28 01:52:50.873170,2021-04-28 01:52:50.873170
11756,366,30052,2021-04-28 01:53:12.197193,2021-04-28 01:53:12.197193
11757,441,30053,2021-04-28 01:53:29.046343,2021-04-28 01:53:29.046343
11758,46,30054,2021-04-28 01:53:33.432208,2021-04-28 01:53:33.432208
11759,692,23350,2021-04-28 01:53:35.896829,2021-04-28 01:53:35.896829
11760,677,30055,2021-04-28 01:53:47.428288,2021-04-28 01:53:47.428288
11761,677,30056,2021-04-28 01:54:17.866939,2021-04-28 01:54:17.866939
11762,699,30057,2021-04-28 01:54:18.221130,2021-04-28 01:54:18.221130
11763,405,30058,2021-04-28 01:55:44.897509,2021-04-28 01:55:44.897509
11764,371,30059,2021-04-28 01:56:05.649474,2021-04-28 01:56:05.649474
11765,68,30061,2021-04-28 01:56:09.810371,2021-04-28 01:56:09.810371
11766,66,30062,2021-04-28 01:56:53.300030,2021-04-28 01:56:53.300030
11767,66,14771,2021-04-28 01:56:57.659374,2021-04-28 01:56:57.659374
11768,699,30064,2021-04-28 01:57:32.540334,2021-04-28 01:57:32.540334
11769,466,30065,2021-04-28 01:57:33.917533,2021-04-28 01:57:33.917533
11770,466,14846,2021-04-28 01:58:02.612802,2021-04-28 01:58:02.612802
11771,677,1287,2021-04-28 01:58:33.255782,2021-04-28 01:58:33.255782
11772,699,30068,2021-04-28 01:58:33.945454,2021-04-28 01:58:33.945454
11773,247,30070,2021-04-28 01:59:08.443852,2021-04-28 01:59:08.443852
11774,869,30073,2021-04-28 01:59:29.825221,2021-04-28 01:59:29.825221
11775,677,19563,2021-04-28 01:59:46.112187,2021-04-28 01:59:46.112187
11776,85,30074,2021-04-28 01:59:59.470394,2021-04-28 01:59:59.470394
11777,291,29234,2021-04-28 02:00:08.291689,2021-04-28 02:00:08.291689
11778,115,30075,2021-04-28 02:00:09.843212,2021-04-28 02:00:09.843212
11779,677,6174,2021-04-28 02:00:10.301896,2021-04-28 02:00:10.301896
11780,116,132,2021-04-28 02:00:12.083762,2021-04-28 02:00:12.083762
11781,116,30078,2021-04-28 02:00:12.245316,2021-04-28 02:00:12.245316
11782,116,30079,2021-04-28 02:00:12.410126,2021-04-28 02:00:12.410126
11783,116,30080,2021-04-28 02:00:12.591990,2021-04-28 02:00:12.591990
11784,116,30081,2021-04-28 02:00:12.804974,2021-04-28 02:00:12.804974
11785,514,30083,2021-04-28 02:00:14.448403,2021-04-28 02:00:14.448403
11786,677,21509,2021-04-28 02:00:16.753181,2021-04-28 02:00:16.753181
11787,444,30087,2021-04-28 02:00:19.752778,2021-04-28 02:00:19.752778
11788,444,132,2021-04-28 02:00:20.468933,2021-04-28 02:00:20.468933
11789,39,6246,2021-04-28 02:00:22.674224,2021-04-28 02:00:22.674224
11790,699,30089,2021-04-28 02:00:53.589183,2021-04-28 02:00:53.589183
11791,367,30090,2021-04-28 02:01:00.452214,2021-04-28 02:01:00.452214
11792,16,30091,2021-04-28 02:01:29.529064,2021-04-28 02:01:29.529064
11793,87,30092,2021-04-28 02:01:33.360624,2021-04-28 02:01:33.360624
11794,348,30093,2021-04-28 02:01:37.172894,2021-04-28 02:01:37.172894
11795,348,5129,2021-04-28 02:01:37.364953,2021-04-28 02:01:37.364953
11796,348,30095,2021-04-28 02:01:37.578847,2021-04-28 02:01:37.578847
11797,348,30094,2021-04-28 02:01:37.894699,2021-04-28 02:01:37.894699
11798,348,30108,2021-04-28 02:01:39.607712,2021-04-28 02:01:39.607712
11799,348,30113,2021-04-28 02:01:40.326722,2021-04-28 02:01:40.326722
11800,369,30118,2021-04-28 02:02:05.061002,2021-04-28 02:02:05.061002
11801,369,30123,2021-04-28 02:02:05.571784,2021-04-28 02:02:05.571784
11802,369,30124,2021-04-28 02:02:05.799605,2021-04-28 02:02:05.799605
11803,93,28279,2021-04-28 02:02:06.234750,2021-04-28 02:02:06.234750
11804,72,132,2021-04-28 02:02:25.297527,2021-04-28 02:02:25.297527
11805,389,16943,2021-04-28 02:02:54.326944,2021-04-28 02:02:54.326944
11806,387,30127,2021-04-28 02:02:55.983329,2021-04-28 02:02:55.983329
11807,139,30128,2021-04-28 02:03:03.927900,2021-04-28 02:03:03.927900
11808,334,18534,2021-04-28 02:03:14.742139,2021-04-28 02:03:14.742139
11809,66,30129,2021-04-28 02:03:18.161057,2021-04-28 02:03:18.161057
11810,333,30131,2021-04-28 02:03:29.943117,2021-04-28 02:03:29.943117
11811,692,30132,2021-04-28 02:03:32.299166,2021-04-28 02:03:32.299166
11812,492,26067,2021-04-28 02:03:35.240664,2021-04-28 02:03:35.240664
11813,428,30133,2021-04-28 02:03:47.048547,2021-04-28 02:03:47.048547
11814,66,30134,2021-04-28 02:04:39.894797,2021-04-28 02:04:39.894797
11815,238,30135,2021-04-28 02:05:00.521344,2021-04-28 02:05:00.521344
11816,238,30136,2021-04-28 02:05:00.861480,2021-04-28 02:05:00.861480
11817,238,30137,2021-04-28 02:05:01.051167,2021-04-28 02:05:01.051167
11818,238,30139,2021-04-28 02:05:01.292012,2021-04-28 02:05:01.292012
11819,238,30138,2021-04-28 02:05:01.462896,2021-04-28 02:05:01.462896
11820,238,132,2021-04-28 02:05:02.366839,2021-04-28 02:05:02.366839
