id,phenotype_id,childhpo_id,created_at,updated_at
277,7880,222,2021-01-19 17:00:33,2021-01-19 17:00:33
278,222,9646,2021-01-19 17:00:33,2021-01-19 17:00:33
279,222,1893,2021-01-19 17:00:35,2021-01-19 17:00:35
280,222,876,2021-01-19 17:00:37,2021-01-19 17:00:37
281,222,6988,2021-01-19 17:00:39,2021-01-19 17:00:39
282,222,9647,2021-01-19 17:00:41,2021-01-19 17:00:41
283,222,875,2021-01-19 17:00:43,2021-01-19 17:00:43
284,222,9648,2021-01-19 17:00:45,2021-01-19 17:00:45
285,222,9649,2021-01-19 17:00:47,2021-01-19 17:00:47
286,222,9650,2021-01-19 17:00:49,2021-01-19 17:00:49
287,222,2316,2021-01-19 17:00:51,2021-01-19 17:00:51
288,7880,9651,2021-01-19 17:00:54,2021-01-19 17:00:54
289,7880,965,2021-01-19 17:00:55,2021-01-19 17:00:55
290,965,9652,2021-01-19 17:00:56,2021-01-19 17:00:56
291,965,17,2021-01-19 17:00:58,2021-01-19 17:00:58
292,17,9653,2021-01-19 17:00:59,2021-01-19 17:00:59
293,17,7548,2021-01-19 17:01:01,2021-01-19 17:01:01
294,17,6168,2021-01-19 17:01:03,2021-01-19 17:01:03
295,965,9654,2021-01-19 17:01:06,2021-01-19 17:01:06
296,965,2737,2021-01-19 17:01:08,2021-01-19 17:01:08
297,2737,2488,2021-01-19 17:01:09,2021-01-19 17:01:09
298,965,3768,2021-01-19 17:01:12,2021-01-19 17:01:12
299,965,231,2021-01-19 17:01:14,2021-01-19 17:01:14
300,231,2364,2021-01-19 17:01:15,2021-01-19 17:01:15
301,231,1788,2021-01-19 17:01:16,2021-01-19 17:01:16
302,231,1145,2021-01-19 17:01:18,2021-01-19 17:01:18
303,231,2854,2021-01-19 17:01:20,2021-01-19 17:01:20
304,965,3766,2021-01-19 17:01:23,2021-01-19 17:01:23
305,965,924,2021-01-19 17:01:25,2021-01-19 17:01:25
306,924,4911,2021-01-19 17:01:26,2021-01-19 17:01:26
307,924,2462,2021-01-19 17:01:28,2021-01-19 17:01:28
308,2462,2461,2021-01-19 17:01:29,2021-01-19 17:01:29
309,965,9655,2021-01-19 17:01:33,2021-01-19 17:01:33
310,965,1965,2021-01-19 17:01:35,2021-01-19 17:01:35
311,965,2366,2021-01-19 17:01:36,2021-01-19 17:01:36
312,965,1165,2021-01-19 17:01:38,2021-01-19 17:01:38
313,7880,1455,2021-01-19 17:01:41,2021-01-19 17:01:41
314,1455,9656,2021-01-19 17:01:42,2021-01-19 17:01:42
315,1455,9657,2021-01-19 17:01:44,2021-01-19 17:01:44
316,1455,9658,2021-01-19 17:01:46,2021-01-19 17:01:46
317,1455,2030,2021-01-19 17:01:48,2021-01-19 17:01:48
318,1455,3758,2021-01-19 17:01:50,2021-01-19 17:01:50
319,7880,9659,2021-01-19 17:01:53,2021-01-19 17:01:53
320,7880,242,2021-01-19 17:01:55,2021-01-19 17:01:55
321,242,6234,2021-01-19 17:01:56,2021-01-19 17:01:56
322,242,1314,2021-01-19 17:01:57,2021-01-19 17:01:57
323,242,377,2021-01-19 17:01:59,2021-01-19 17:01:59
324,7880,520,2021-01-19 17:02:02,2021-01-19 17:02:02
325,520,9660,2021-01-19 17:02:03,2021-01-19 17:02:03
326,7880,2190,2021-01-19 17:02:06,2021-01-19 17:02:06
327,2190,6727,2021-01-19 17:02:07,2021-01-19 17:02:07
328,2190,9661,2021-01-19 17:02:09,2021-01-19 17:02:09
329,2190,2098,2021-01-19 17:02:11,2021-01-19 17:02:11
330,2190,9662,2021-01-19 17:02:13,2021-01-19 17:02:13
331,2190,17,2021-01-19 17:02:15,2021-01-19 17:02:15
332,7880,744,2021-01-19 17:02:23,2021-01-19 17:02:23
333,744,1341,2021-01-19 17:02:24,2021-01-19 17:02:24
334,744,871,2021-01-19 17:02:26,2021-01-19 17:02:26
335,744,2750,2021-01-19 17:02:32,2021-01-19 17:02:32
336,744,873,2021-01-19 17:02:33,2021-01-19 17:02:33
337,2754,1243,2021-01-19 17:02:37,2021-01-19 17:02:37
338,2754,525,2021-01-19 17:02:39,2021-01-19 17:02:39
339,525,9663,2021-01-19 17:02:40,2021-01-19 17:02:40
340,2754,603,2021-01-19 17:02:43,2021-01-19 17:02:43
341,603,359,2021-01-19 17:02:44,2021-01-19 17:02:44
342,359,9664,2021-01-19 17:02:45,2021-01-19 17:02:45
343,359,9665,2021-01-19 17:02:47,2021-01-19 17:02:47
344,359,9666,2021-01-19 17:02:49,2021-01-19 17:02:49
345,359,9667,2021-01-19 17:02:51,2021-01-19 17:02:51
346,359,6239,2021-01-19 17:02:53,2021-01-19 17:02:53
347,603,463,2021-01-19 17:02:55,2021-01-19 17:02:55
348,463,898,2021-01-19 17:02:56,2021-01-19 17:02:56
349,898,5200,2021-01-19 17:02:57,2021-01-19 17:02:57
350,463,480,2021-01-19 17:03:00,2021-01-19 17:03:00
351,463,201,2021-01-19 17:03:02,2021-01-19 17:03:02
352,201,3342,2021-01-19 17:03:03,2021-01-19 17:03:03
353,201,7191,2021-01-19 17:03:05,2021-01-19 17:03:05
354,201,162,2021-01-19 17:03:07,2021-01-19 17:03:07
355,162,1454,2021-01-19 17:03:08,2021-01-19 17:03:08
356,1454,1592,2021-01-19 17:03:08,2021-01-19 17:03:08
357,162,3335,2021-01-19 17:03:11,2021-01-19 17:03:11
358,201,1133,2021-01-19 17:03:14,2021-01-19 17:03:14
359,463,1064,2021-01-19 17:03:17,2021-01-19 17:03:17
360,603,528,2021-01-19 17:03:20,2021-01-19 17:03:20
361,603,151,2021-01-19 17:03:22,2021-01-19 17:03:22
362,151,1131,2021-01-19 17:03:23,2021-01-19 17:03:23
363,151,3144,2021-01-19 17:03:25,2021-01-19 17:03:25
364,151,2832,2021-01-19 17:03:27,2021-01-19 17:03:27
365,151,6183,2021-01-19 17:03:29,2021-01-19 17:03:29
366,603,872,2021-01-19 17:03:31,2021-01-19 17:03:31
367,872,2353,2021-01-19 17:03:32,2021-01-19 17:03:32
368,603,2659,2021-01-19 17:03:35,2021-01-19 17:03:35
369,2659,3759,2021-01-19 17:03:36,2021-01-19 17:03:36
370,603,3049,2021-01-19 17:03:39,2021-01-19 17:03:39
371,3049,1066,2021-01-19 17:03:40,2021-01-19 17:03:40
372,1066,2704,2021-01-19 17:03:41,2021-01-19 17:03:41
373,1066,4874,2021-01-19 17:03:43,2021-01-19 17:03:43
374,4874,1148,2021-01-19 17:03:44,2021-01-19 17:03:44
375,3049,6233,2021-01-19 17:03:48,2021-01-19 17:03:48
376,3049,126,2021-01-19 17:03:49,2021-01-19 17:03:49
377,3049,645,2021-01-19 17:03:53,2021-01-19 17:03:53
378,3049,1081,2021-01-19 17:03:55,2021-01-19 17:03:55
379,3049,6901,2021-01-19 17:03:57,2021-01-19 17:03:57
380,603,2141,2021-01-19 17:04:00,2021-01-19 17:04:00
381,603,3756,2021-01-19 17:04:02,2021-01-19 17:04:02
