id,hpo,sider,name,description,created_at,updated_at,related_to,gene_phenotype_relationships_count,disease_phenotype_relationships_count
217,HP:0005595,,Generalized hyperkeratosis,,2020-12-24 16:26:03,2021-01-19 17:12:24,skin,17,6
218,HP:0000853,,Goiter,,2020-12-24 16:26:03,2020-12-24 16:26:03,,53,4
219,HP:0012733,,Macule,"A flat, distinct, discolored area of skin less than 1 cm wide that does not involve any change in the thickness or texture of the skin.",2020-12-24 16:26:03,2021-01-19 16:57:38,skin,106,14
220,HP:0000982,,Palmoplantar keratoderma,Abnormal thickening of the skin of the palms of the hands and the soles of the feet.,2020-12-24 16:26:03,2021-01-19 17:12:11,skin,149,49
221,HP:0012740,,Papilloma,A tumor of the skin or mucous membrane with finger-like projections.,2020-12-24 16:26:03,2021-01-19 16:54:33,skin,46,5
222,HP:0200034,,Papule,"A circumscribed, solid elevation of skin with no visible fluid, varying in size from a pinhead to less than 10mm in diameter at the widest point.",2020-12-24 16:26:03,2021-01-19 17:00:33,skin,78,39
223,HP:0000036,,Abnormality of the penis,,2020-12-24 16:26:03,2020-12-24 16:26:03,,642,1
224,HP:0009720,,Adenoma sebaceum,The presence of a sebaceous adenoma with origin in the sebum secreting cells of the skin.,2020-12-24 16:26:03,2021-01-19 16:55:39,skin,21,6
225,HP:0001251,,Ataxia,,2020-12-24 16:26:03,2020-12-24 16:26:03,,896,41
226,HP:0001048,,Cavernous hemangioma,,2020-12-24 16:26:03,2020-12-24 16:26:03,,29,9
227,HP:0100543,,Cognitive impairment,,2020-12-24 16:26:03,2020-12-24 16:26:03,,615,25
228,HP:0000221,,Furrowed tongue,,2020-12-24 16:26:03,2020-12-24 16:26:03,,40,13
229,HP:0004390,,Hamartomatous polyposis,,2020-12-24 16:26:03,2020-12-24 16:26:03,,17,4
230,HP:0000158,,Macroglossia,,2020-12-24 16:26:03,2020-12-24 16:26:03,,132,10
231,HP:0000995,,Melanocytic nevus,"A oval and round, colored (usually medium-to dark brown, reddish brown, or flesh colored) lesion. Typically, a melanocytic nevus is less than 6 mm in diameter, but may be much smaller or larger.",2020-12-24 16:26:03,2021-01-19 17:01:14,skin,56,17
232,HP:0100579,,Mucosal telangiectasiae,"Telangiectasia of the mucosa, the mucous membranes which are involved in absorption and secretion that line cavities that are exposed to the external environment and internal organs.",2020-12-24 16:26:03,2021-01-19 17:05:44,skin,38,7
233,HP:0001317,,Abnormal cerebellum morphology,,2020-12-24 16:26:03,2020-12-24 16:26:03,,816,5
234,HP:0000717,,Autism,,2020-12-24 16:26:03,2020-12-24 16:26:03,,179,3
235,HP:0005374,,Cellular immunodeficiency,,2020-12-24 16:26:03,2020-12-24 16:26:03,,36,6
236,HP:0012114,,Endometrial carcinoma,,2020-12-24 16:26:03,2020-12-24 16:26:03,,23,2
237,HP:0008675,,Enlarged polycystic ovaries,,2020-12-24 16:26:03,2020-12-24 16:26:04,,19,4
238,HP:0006731,,Follicular thyroid carcinoma,,2020-12-24 16:26:04,2020-12-24 16:26:04,,15,1
239,HP:0000771,,Gynecomastia,,2020-12-24 16:26:04,2020-12-24 16:26:04,,91,8
240,HP:0000365,,Hearing impairment,,2020-12-24 16:26:04,2020-12-24 16:26:04,,1367,53
241,HP:0000218,,High palate,,2020-12-24 16:26:04,2020-12-24 16:26:04,,634,40
242,HP:0001053,,Hypopigmented skin patches,,2020-12-24 16:26:04,2021-01-19 17:01:56,skin,114,28
243,HP:0002516,,Increased intracranial pressure,,2020-12-24 16:26:04,2020-12-24 16:26:04,,76,4
