id,disease_id,name,description,created_at,updated_at,umlsid,phenotype_id
174,,,,2020-12-22 18:01:34,2020-12-22 18:01:34,C0432317,NULL
175,,,,2020-12-22 18:01:34,2020-12-22 18:01:34,C1864826,NULL
176,,,,2020-12-22 18:01:35,2020-12-22 18:01:35,C0343110,NULL
177,,,,2020-12-22 18:01:35,2020-12-22 18:01:35,C1721006,NULL
178,,,,2020-12-22 18:01:35,2020-12-22 18:01:35,C2931735,NULL
179,,,,2020-12-22 18:01:35,2020-12-22 18:01:35,C0878675,NULL
180,,,,2020-12-22 18:01:35,2020-12-22 18:01:35,C0263398,NULL
181,,,,2020-12-22 18:01:35,2020-12-22 18:01:35,C0265961,NULL
182,,,,2020-12-22 18:01:35,2020-12-22 18:01:35,C0014805,NULL
183,,,,2020-12-22 18:01:35,2020-12-22 18:01:35,C0018197,NULL
184,,,,2020-12-22 18:01:35,2020-12-22 18:01:35,C0392788,NULL
185,,,,2020-12-22 18:01:35,2020-12-22 18:01:35,C0002986,NULL
186,,,,2020-12-22 18:01:35,2020-12-22 18:01:35,C0343068,NULL
187,,,,2020-12-22 18:01:35,2020-12-22 18:01:35,C0406817,NULL
188,,,,2020-12-22 18:01:36,2020-12-22 18:01:36,C0013364,NULL
189,,,,2020-12-22 18:01:36,2020-12-22 18:01:36,C0268349,NULL
190,,,,2020-12-22 18:01:36,2020-12-22 18:01:36,C3489413,NULL
191,,,,2020-12-22 18:01:36,2020-12-22 18:01:36,C0271694,NULL
192,,,,2020-12-22 18:01:36,2020-12-22 18:01:36,C1720861,NULL
193,,,,2020-12-22 18:01:36,2020-12-22 18:01:36,C1720860,NULL
194,,,,2020-12-22 18:01:36,2020-12-22 18:01:36,C1720859,NULL
195,,,,2020-12-22 18:01:36,2020-12-22 18:01:36,C1857624,NULL
196,,,,2020-12-22 18:01:37,2020-12-22 18:01:37,C0015625,NULL
197,,,,2020-12-22 18:01:37,2020-12-22 18:01:37,C0268255,NULL
198,,,,2020-12-22 18:01:37,2020-12-22 18:01:37,C2936785,NULL
199,,,,2020-12-22 18:01:37,2020-12-22 18:01:37,C0016037,NULL
200,,,,2020-12-22 18:01:37,2020-12-22 18:01:37,C0343108,NULL
201,,,,2020-12-22 18:01:37,2020-12-22 18:01:37,C0016395,NULL
202,,,,2020-12-22 18:01:37,2020-12-22 18:01:37,C2936827,NULL
203,,,,2020-12-22 18:01:37,2020-12-22 18:01:37,C1274700,NULL
204,,,,2020-12-22 18:01:38,2020-12-22 18:01:38,C0406723,NULL
205,,,,2020-12-22 18:01:38,2020-12-22 18:01:38,C0017097,NULL
206,,,,2020-12-22 18:01:38,2020-12-22 18:01:38,C0301928,NULL
207,,,,2020-12-22 18:01:38,2020-12-22 18:01:38,C1850899,NULL
208,,,,2020-12-22 18:01:38,2020-12-22 18:01:38,C1842704,NULL
209,,,,2020-12-22 18:01:38,2020-12-22 18:01:38,C0343055,NULL
210,,,,2020-12-22 18:01:38,2020-12-22 18:01:38,C0432255,NULL
211,,,,2020-12-22 18:01:38,2020-12-22 18:01:38,C1318558,NULL
212,,,,2020-12-22 18:01:38,2020-12-22 18:01:38,C1842036,NULL
213,,,,2020-12-22 18:01:38,2020-12-22 18:01:38,C1836824,NULL
214,,,,2020-12-22 18:01:38,2020-12-22 18:01:38,C0345382,NULL
215,,,,2020-12-22 18:01:39,2020-12-22 18:01:39,C0376407,NULL
216,,,,2020-12-22 18:01:39,2020-12-22 18:01:39,C0457002,NULL
217,,,,2020-12-22 18:01:39,2020-12-22 18:01:39,C1859194,NULL
218,,,,2020-12-22 18:01:39,2020-12-22 18:01:39,C1868679,NULL
219,,,,2020-12-22 18:01:39,2020-12-22 18:01:39,C1836573,NULL
220,,,,2020-12-22 18:01:39,2020-12-22 18:01:39,C0085106,NULL
221,,,,2020-12-22 18:01:39,2020-12-22 18:01:39,C1855627,NULL
222,,,,2020-12-22 18:01:39,2020-12-22 18:01:39,C1841696,NULL
223,,,,2020-12-22 18:01:39,2020-12-22 18:01:39,C2930953,NULL
224,,,,2020-12-22 18:01:39,2020-12-22 18:01:39,C0018522,NULL
225,,,,2020-12-22 18:01:39,2020-12-22 18:01:39,C1850079,NULL
226,,,,2020-12-22 18:01:39,2020-12-22 18:01:39,C0239849,NULL
227,,,,2020-12-22 18:01:39,2020-12-22 18:01:39,C0598226,NULL
228,,,,2020-12-22 18:01:39,2020-12-22 18:01:39,C0018609,NULL
229,,,,2020-12-22 18:01:39,2020-12-22 18:01:39,C0340834,NULL
230,,,,2020-12-22 18:01:39,2020-12-22 18:01:39,C0162569,NULL
231,,,,2020-12-22 18:01:39,2020-12-22 18:01:39,C0268324,NULL
232,,,,2020-12-22 18:01:40,2020-12-22 18:01:40,C0162531,NULL
233,,,,2020-12-22 18:01:40,2020-12-22 18:01:40,C0039445,NULL
234,,,,2020-12-22 18:01:40,2020-12-22 18:01:40,C1708350,NULL
235,,,,2020-12-22 18:01:40,2020-12-22 18:01:40,C0025183,NULL
236,,,,2020-12-22 18:01:40,2020-12-22 18:01:40,C0238261,NULL
237,,,,2020-12-22 18:01:40,2020-12-22 18:01:40,C1704424,NULL
238,,,,2020-12-22 18:01:40,2020-12-22 18:01:40,C1704425,NULL
239,,,,2020-12-22 18:01:40,2020-12-22 18:01:40,C1274795,NULL
240,,,,2020-12-22 18:01:40,2020-12-22 18:01:40,C0238339,NULL
241,,,,2020-12-22 18:01:40,2020-12-22 18:01:40,C0341474,NULL
242,,,,2020-12-22 18:01:40,2020-12-22 18:01:40,C1842362,NULL
243,,,,2020-12-22 18:01:40,2020-12-22 18:01:40,C0268581,NULL
244,,,,2020-12-22 18:01:40,2020-12-22 18:01:40,C0020241,NULL
245,,,,2020-12-22 18:01:41,2020-12-22 18:01:41,C0398691,NULL
246,,,,2020-12-22 18:01:41,2020-12-22 18:01:41,C0263420,NULL
247,,,,2020-12-22 18:01:41,2020-12-22 18:01:41,C0268337,NULL
248,,,,2020-12-22 18:01:41,2020-12-22 18:01:41,C0162359,NULL
249,,,,2020-12-22 18:01:41,2020-12-22 18:01:41,C0406702,NULL
250,,,,2020-12-22 18:01:41,2020-12-22 18:01:41,C1706004,NULL
