id,disease_gene_id,reference_id,created_at,updated_at
13518,12185,6035,2021-04-27 21:50:13.573152,2021-04-27 21:50:13.573152
13519,12186,26892,2021-04-27 21:50:15.741126,2021-04-27 21:50:15.741126
13520,12187,26203,2021-04-27 21:50:16.361251,2021-04-27 21:50:16.361251
13521,12188,132,2021-04-27 21:50:16.463794,2021-04-27 21:50:16.463794
13522,12189,26893,2021-04-27 21:50:24.995053,2021-04-27 21:50:24.995053
13523,12190,26894,2021-04-27 21:50:30.852965,2021-04-27 21:50:30.852965
13524,12191,26895,2021-04-27 21:50:32.321516,2021-04-27 21:50:32.321516
13525,12192,26197,2021-04-27 21:50:36.643423,2021-04-27 21:50:36.643423
13526,12193,26197,2021-04-27 21:50:36.899142,2021-04-27 21:50:36.899142
13527,12194,1108,2021-04-27 21:50:38.538331,2021-04-27 21:50:38.538331
13528,12195,8863,2021-04-27 21:50:40.533134,2021-04-27 21:50:40.533134
13529,12196,5925,2021-04-27 21:50:47.535628,2021-04-27 21:50:47.535628
13530,12197,4649,2021-04-27 21:50:47.792400,2021-04-27 21:50:47.792400
13531,12198,26896,2021-04-27 21:50:48.388028,2021-04-27 21:50:48.388028
13532,12199,23171,2021-04-27 21:50:49.865620,2021-04-27 21:50:49.865620
13533,12200,14829,2021-04-27 21:51:04.443356,2021-04-27 21:51:04.443356
13534,12201,22392,2021-04-27 21:51:05.444541,2021-04-27 21:51:05.444541
13535,482,26898,2021-04-27 21:51:10.920445,2021-04-27 21:51:10.920445
13536,12202,132,2021-04-27 21:51:18.556294,2021-04-27 21:51:18.556294
13537,12203,4725,2021-04-27 21:51:21.751308,2021-04-27 21:51:21.751308
13538,12204,26900,2021-04-27 21:51:22.890253,2021-04-27 21:51:22.890253
13539,12205,6238,2021-04-27 21:51:26.416945,2021-04-27 21:51:26.416945
13540,12206,26902,2021-04-27 21:51:31.577292,2021-04-27 21:51:31.577292
13541,12207,6015,2021-04-27 21:51:32.047911,2021-04-27 21:51:32.047911
13542,12208,5171,2021-04-27 21:51:36.667451,2021-04-27 21:51:36.667451
13543,12209,7923,2021-04-27 21:51:39.132739,2021-04-27 21:51:39.132739
13544,12210,26903,2021-04-27 21:51:41.755465,2021-04-27 21:51:41.755465
13545,12211,26904,2021-04-27 21:51:42.070203,2021-04-27 21:51:42.070203
13546,12211,26905,2021-04-27 21:51:42.222046,2021-04-27 21:51:42.222046
13547,12212,4791,2021-04-27 21:51:45.436439,2021-04-27 21:51:45.436439
13548,12213,7923,2021-04-27 21:51:48.523100,2021-04-27 21:51:48.523100
13549,12214,2488,2021-04-27 21:52:00.486644,2021-04-27 21:52:00.486644
13550,12215,26799,2021-04-27 21:52:01.898909,2021-04-27 21:52:01.898909
13551,12216,17168,2021-04-27 21:52:02.026848,2021-04-27 21:52:02.026848
13552,12217,26907,2021-04-27 21:52:03.291999,2021-04-27 21:52:03.291999
13553,12218,26908,2021-04-27 21:52:04.008560,2021-04-27 21:52:04.008560
13554,12219,26909,2021-04-27 21:52:04.772697,2021-04-27 21:52:04.772697
13555,12220,26910,2021-04-27 21:52:07.046426,2021-04-27 21:52:07.046426
13556,12221,11430,2021-04-27 21:52:11.960083,2021-04-27 21:52:11.960083
13557,12222,21430,2021-04-27 21:52:12.526321,2021-04-27 21:52:12.526321
13558,12223,3568,2021-04-27 21:52:20.161814,2021-04-27 21:52:20.161814
13559,12224,3570,2021-04-27 21:52:22.861794,2021-04-27 21:52:22.861794
13560,12225,3571,2021-04-27 21:52:27.779244,2021-04-27 21:52:27.779244
13561,12226,3573,2021-04-27 21:52:33.566044,2021-04-27 21:52:33.566044
13562,12227,3579,2021-04-27 21:52:41.477186,2021-04-27 21:52:41.477186
13563,12228,8811,2021-04-27 21:52:47.619916,2021-04-27 21:52:47.619916
13564,12229,2507,2021-04-27 21:52:54.532545,2021-04-27 21:52:54.532545
13565,12230,2507,2021-04-27 21:52:55.164326,2021-04-27 21:52:55.164326
13566,12231,1782,2021-04-27 21:53:01.217499,2021-04-27 21:53:01.217499
13567,12232,14285,2021-04-27 21:53:01.369262,2021-04-27 21:53:01.369262
13568,12233,26911,2021-04-27 21:53:03.330004,2021-04-27 21:53:03.330004
13569,12234,26912,2021-04-27 21:53:09.022907,2021-04-27 21:53:09.022907
13570,12235,26913,2021-04-27 21:53:14.248981,2021-04-27 21:53:14.248981
13571,12236,132,2021-04-27 21:53:20.400258,2021-04-27 21:53:20.400258
13572,12237,26914,2021-04-27 21:53:23.763159,2021-04-27 21:53:23.763159
13573,12238,22592,2021-04-27 21:53:24.026839,2021-04-27 21:53:24.026839
13574,12239,11879,2021-04-27 21:53:25.713444,2021-04-27 21:53:25.713444
13575,12240,26915,2021-04-27 21:53:26.758574,2021-04-27 21:53:26.758574
13576,12241,19650,2021-04-27 21:53:28.538531,2021-04-27 21:53:28.538531
13577,12242,23029,2021-04-27 21:53:34.560956,2021-04-27 21:53:34.560956
13578,12243,26919,2021-04-27 21:53:40.243673,2021-04-27 21:53:40.243673
13579,12244,26831,2021-04-27 21:53:43.011380,2021-04-27 21:53:43.011380
13580,12245,26920,2021-04-27 21:53:45.310665,2021-04-27 21:53:45.310665
13581,12246,13456,2021-04-27 21:53:47.866480,2021-04-27 21:53:47.866480
13582,12247,26923,2021-04-27 21:53:49.705705,2021-04-27 21:53:49.705705
13583,12248,14950,2021-04-27 21:53:54.078444,2021-04-27 21:53:54.078444
13584,12249,6112,2021-04-27 21:54:00.313240,2021-04-27 21:54:00.313240
13585,12250,26924,2021-04-27 21:54:05.061769,2021-04-27 21:54:05.061769
13586,12250,26929,2021-04-27 21:54:05.663509,2021-04-27 21:54:05.663509
13587,12251,26930,2021-04-27 21:54:07.766115,2021-04-27 21:54:07.766115
13588,12252,26651,2021-04-27 21:54:08.055857,2021-04-27 21:54:08.055857
13589,12253,26932,2021-04-27 21:54:12.425366,2021-04-27 21:54:12.425366
13590,12254,132,2021-04-27 21:54:14.538363,2021-04-27 21:54:14.538363
13591,12255,10857,2021-04-27 21:54:15.963188,2021-04-27 21:54:15.963188
13592,12256,26933,2021-04-27 21:54:16.552124,2021-04-27 21:54:16.552124
13593,12256,322,2021-04-27 21:54:16.647532,2021-04-27 21:54:16.647532
13594,12257,10522,2021-04-27 21:54:17.194686,2021-04-27 21:54:17.194686
13595,12257,132,2021-04-27 21:54:17.289451,2021-04-27 21:54:17.289451
13596,12258,26934,2021-04-27 21:54:28.016171,2021-04-27 21:54:28.016171
13597,12259,2055,2021-04-27 21:54:33.576438,2021-04-27 21:54:33.576438
13598,12260,18243,2021-04-27 21:54:38.442483,2021-04-27 21:54:38.442483
13599,12261,26935,2021-04-27 21:54:41.789486,2021-04-27 21:54:41.789486
13600,12262,26936,2021-04-27 21:54:43.679452,2021-04-27 21:54:43.679452
13601,12263,26937,2021-04-27 21:54:50.019681,2021-04-27 21:54:50.019681
13602,12264,26745,2021-04-27 21:54:55.840915,2021-04-27 21:54:55.840915
13603,12265,26912,2021-04-27 21:54:56.218024,2021-04-27 21:54:56.218024
13604,12266,26938,2021-04-27 21:54:56.899995,2021-04-27 21:54:56.899995
13605,12267,5873,2021-04-27 21:54:58.403020,2021-04-27 21:54:58.403020
13606,12268,3529,2021-04-27 21:54:58.664095,2021-04-27 21:54:58.664095
13607,12269,26745,2021-04-27 21:54:59.056021,2021-04-27 21:54:59.056021
13608,12270,3500,2021-04-27 21:55:00.192541,2021-04-27 21:55:00.192541
13609,191,26941,2021-04-27 21:55:01.834993,2021-04-27 21:55:01.834993
13610,12271,132,2021-04-27 21:55:02.805609,2021-04-27 21:55:02.805609
13611,12272,4690,2021-04-27 21:55:05.012075,2021-04-27 21:55:05.012075
13612,12273,26942,2021-04-27 21:55:05.948721,2021-04-27 21:55:05.948721
13613,77,16547,2021-04-27 21:55:12.374273,2021-04-27 21:55:12.374273
13614,77,14064,2021-04-27 21:55:12.553243,2021-04-27 21:55:12.553243
13615,77,26944,2021-04-27 21:55:12.694148,2021-04-27 21:55:12.694148
