head,relation,tail
icd11:1117838449,is_a,icd11:1934975006
icd11:790685985,is_a,icd11:134161404
icd11:531901221,is_a,icd11:2021810977
icd11:531901221,is_a,icd11:878910257
icd11:543430701,is_a,icd11:1621659194
icd11:543430701,is_a,icd11:867848022
icd11:309267481,is_a,icd11:1261216593
icd11:787969729,is_a,icd11:1314630323
icd11:1192013809,is_a,icd11:113043090
icd11:943373099,is_a,icd11:666745612
icd11:171812485,is_a,icd11:596352530
icd11:2099645070,is_a,icd11:602989108
icd11:1820197945,is_a,icd11:1627987797
icd11:213855225,is_a,icd11:437941753
icd11:213855225,is_a,icd11:1401395930
icd11:511620819,is_a,icd11:2338375
icd11:901138187,is_a,icd11:477720002
icd11:283404213,is_a,icd11:568986992
icd11:839982538,is_a,icd11:1531077719
icd11:593924589,is_a,icd11:2070891383
icd11:1900229795,is_a,icd11:1339615175
icd11:1900229795,is_a,icd11:1179082745
icd11:2076834974,is_a,icd11:149038202
icd11:1825957297,is_a,icd11:1056888958
icd11:922306744,is_a,icd11:2132057671
icd11:384984571,is_a,icd11:1639304259
icd11:1343350087,is_a,icd11:397446839
icd11:1343350087,is_a,icd11:657613175
icd11:1480386521,is_a,icd11:1520939855
icd11:88843032,is_a,icd11:1156567558
icd11:995520636,is_a,icd11:1785103254
icd11:1910746507,is_a,icd11:7135461
icd11:2093578020,is_a,icd11:428347394
icd11:2008105340,is_a,icd11:1577548269
icd11:791747341,is_a,icd11:99883782
icd11:168986957,is_a,icd11:1627987797
icd11:1890146024,is_a,icd11:1659223470
icd11:1170570126,is_a,icd11:270802913
icd11:424468630,is_a,icd11:1463329903
icd11:1036961771,is_a,icd11:1088800108
icd11:272011035,is_a,icd11:969101922
icd11:272011035,is_a,icd11:1024151204
icd11:1575627495,is_a,icd11:532698403
icd11:423849200,is_a,icd11:1797589304
icd11:648205140,is_a,icd11:168471930
icd11:336055701,is_a,icd11:1412405562
icd11:336055701,is_a,icd11:597829687
icd11:1397248326,is_a,icd11:1145144140
icd11:1850199177,is_a,icd11:1416949107
icd11:1572086295,is_a,icd11:348535193
icd11:1544976759,is_a,icd11:1414602212
icd11:877259530,is_a,icd11:797997317
icd11:370989014,is_a,icd11:236964647
icd11:401932616,is_a,icd11:928435705
icd11:959548182,is_a,icd11:731724655
icd11:1789950491,is_a,icd11:1520939855
icd11:378499916,is_a,icd11:152692065
icd11:1392146984,is_a,icd11:428347394
icd11:1661606310,is_a,icd11:1118945070
icd11:1661606310,is_a,icd11:51983773
icd11:2106114192,is_a,icd11:163750325
icd11:700711543,is_a,icd11:1435049566
icd11:1072282963,is_a,icd11:1918887625
icd11:538980972,is_a,icd11:1742248014
icd11:953143133,is_a,icd11:1923044320
